,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,China,"81,518",+79,"3,305",+5,"76,052","2,161",528,57,2,Jan 10
1,USA,"188,530","+24,742","4,053",+912,"7,251","177,226","4,576",570,12,Jan 20
2,Italy,"105,792","+4,053","12,428",+837,"15,729","77,635","4,023","1,750",206,Jan 29
3,Spain,"95,923","+7,967","8,464",+748,"19,259","68,200","5,607","2,052",181,Jan 30
4,Germany,"71,808","+4,923",775,+130,"16,100","54,933","2,675",857,9,Jan 26
5,France,"52,128","+7,578","3,523",+499,"9,444","39,161","5,565",799,54,Jan 23
6,Iran,"44,605","+3,110","2,898",+141,"14,656","27,051","3,703",531,35,Feb 18
7,UK,"25,150","+3,009","1,789",+381,135,"23,226",163,370,26,Jan 30
8,Switzerland,"16,605",+683,433,+74,"1,823","14,349",301,"1,919",50,Feb 24
9,Turkey,"13,531","+2,704",214,+46,243,"13,074",622,160,3,Mar 09
10,Belgium,"12,775",+876,705,+192,"1,696","10,374","1,021","1,102",61,Feb 03
11,Netherlands,"12,595",+845,"1,039",+175,250,"11,306","1,053",735,61,Feb 26
12,Austria,"10,180",+562,128,+20,"1,095","8,957",198,"1,130",14,Feb 24
13,S. Korea,"9,786",+125,162,+4,"5,408","4,216",55,191,3,Jan 19
14,Canada,"8,612","+1,164",101,+12,"1,242","7,269",120,228,3,Jan 24
15,Portugal,"7,443","+1,035",160,+20,43,"7,240",188,730,16,Mar 01
16,Brazil,"5,717","+1,087",201,+38,127,"5,389",296,27,0.9,Feb 24
17,Israel,"5,358",+663,20,+4,224,"5,114",94,619,2,Feb 20
18,Australia,"4,763",+303,20,+1,345,"4,398",28,187,0.8,Jan 24
19,Norway,"4,641",+196,39,+7,13,"4,589",97,856,7,Feb 25
20,Sweden,"4,435",+407,180,+34,16,"4,239",358,439,18,Jan 30
21,Czechia,"3,308",+307,31,+8,45,"3,232",64,309,3,Feb 29
22,Ireland,"3,235",+325,71,+17,5,"3,159",103,655,14,Feb 28
23,Denmark,"2,860",+283,90,+13,1,"2,769",145,494,16,Feb 26
24,Malaysia,"2,766",+140,43,+6,537,"2,186",94,85,1,Jan 24
25,Chile,"2,738",+289,12,+4,156,"2,570",14,143,0.6,Mar 02
26,Russia,"2,337",+501,17,+8,121,"2,199",8,16,0.1,Jan 30
27,Poland,"2,311",+256,33,+2,7,"2,271",50,61,0.9,Mar 03
28,Ecuador,"2,302",+336,79,+17,58,"2,165",100,130,4,Feb 28
29,Romania,"2,245",+136,82,+17,220,"1,943",62,117,4,Feb 25
30,Japan,"2,178",+225,57,+1,424,"1,697",69,17,0.5,Jan 14
31,Luxembourg,"2,178",+190,23,+1,80,"2,075",31,"3,479",37,Feb 28
32,Philippines,"2,084",+538,88,+10,49,"1,947",1,19,0.8,Jan 29
33,Pakistan,"1,938",+221,26,+5,76,"1,836",12,9,0.1,Feb 25
34,Thailand,"1,651",+127,10,+1,342,"1,299",23,24,0.1,Jan 12
35,Saudi Arabia,"1,563",+110,10,+2,165,"1,388",31,45,0.3,Mar 01
36,Indonesia,"1,528",+114,136,+14,81,"1,311",,6,0.5,Mar 01
37,Finland,"1,418",+66,17,+4,10,"1,391",56,256,3,Jan 28
38,India,"1,397",+146,35,+3,123,"1,239",,1,0.03,Jan 29
39,South Africa,"1,353",+27,5,+2,31,"1,317",7,23,0.08,Mar 04
40,Greece,"1,314",+102,49,+3,52,"1,213",72,126,5,Feb 25
41,Panama,"1,181",+106,30,+3,9,"1,142",50,274,7,Mar 09
42,Iceland,"1,135",+49,2,,198,935,11,"3,326",6,Feb 27
43,Dominican Republic,"1,109",+208,51,+9,5,"1,053",,102,5,Feb 29
44,Mexico,"1,094",+101,28,+8,35,"1,031",1,8,0.2,Feb 27
45,Peru,"1,065",+115,30,+6,394,641,49,32,0.9,Mar 05
46,Argentina,"1,054",+234,27,+4,240,787,,23,0.6,Mar 02
47,Singapore,926,+47,3,,240,683,22,158,0.5,Jan 22
