objectId,nome,qtd_confirmado,latitude,longitude,createdAt,updatedAt,letalidade,qtd_obito
uTN8WP10HY,AC,46,-9.97499,-67.8243,2020-03-25T23:37:11.094Z,2020-04-04T20:20:59.708Z,0%,0
XHUDIFEjQy,AL,23,-9.66599,-35.735,2020-03-25T23:37:11.098Z,2020-04-04T20:22:10.954Z,"8,7%",2
kfOtyvDHh3,AP,28,0.034934,-51.0694,2020-03-25T23:37:11.100Z,2020-04-04T20:21:41.260Z,"3,6%",1
kZjftVxsJ2,AM,311,-3.11866,-60.0212,2020-03-25T23:37:11.101Z,2020-04-04T20:22:31.605Z,"3,9%",12
alzUcJAbsL,BA,332,-12.9718,-38.5011,2020-03-25T23:37:11.114Z,2020-04-04T20:22:53.626Z,"2,1%",7
ThJDLoQlin,CE,730,-3.71664,-38.5423,2020-03-25T23:37:11.120Z,2020-04-04T20:24:28.026Z,"3,0%",22
U8jHH89IkZ,DF,454,-15.7795,-47.9297,2020-03-25T23:37:11.118Z,2020-04-04T20:23:14.935Z,"1,5%",7
LlLUQQW7em,ES,153,-20.3155,-40.3128,2020-03-25T23:37:11.118Z,2020-04-04T20:24:02.792Z,"3,3%",5
MOPNB3fPnM,GO,103,-16.6864,-49.2643,2020-03-25T23:37:11.120Z,2020-04-04T20:24:50.218Z,"1,9%",2
fwHJWgSphk,MA,88,-2.53874,-44.2825,2020-03-25T23:37:11.116Z,2020-04-04T20:23:37.594Z,"1,1%",1
EPgf4v3eYo,MT,56,-15.601,-56.0974,2020-03-25T23:37:11.128Z,2020-04-04T20:50:11.383Z,"1,8%",1
EgBxJSFJkf,MS,62,-20.4486,-54.6295,2020-03-25T23:37:11.142Z,2020-04-04T20:43:18.165Z,"1,6%",1
2v59GBInrd,MG,430,-19.9102,-43.9266,2020-03-25T23:37:11.132Z,2020-04-04T20:37:31.206Z,"1,4%",6
cSB7DrlxKW,PR,395,-25.4195,-49.2646,2020-03-25T23:37:11.137Z,2020-04-04T20:41:28.096Z,"1,5%",6
6eSlyH3T4n,PB,32,-7.11509,-34.8641,2020-03-25T23:37:11.144Z,2020-04-04T20:44:56.932Z,"6,3%",2
d1ejs3xsWl,PA,80,-1.4554,-48.4898,2020-03-25T23:37:11.129Z,2020-04-04T20:25:15.777Z,"1,3%",1
fnVKeAvGLb,PE,176,-8.04666,-34.8771,2020-03-25T23:37:11.134Z,2020-04-04T20:38:21.653Z,"8,0%",14
gQiBOengLe,PI,22,-5.09194,-42.8034,2020-03-25T23:37:11.138Z,2020-04-04T20:41:52.198Z,"18,2%",4
ZEqcJDbUUk,RN,212,-5.79357,-35.1986,2020-03-25T23:37:11.137Z,2020-04-04T20:39:04.641Z,"2,4%",5
zWseWwWhhn,RS,410,-30.0318,-51.2065,2020-03-25T23:37:11.137Z,2020-04-04T20:40:32.846Z,"1,5%",6
SgfpOQHx9r,RJ,1246,-22.9129,-43.2003,2020-03-25T23:37:11.137Z,2020-04-04T20:42:30.552Z,"4,7%",58
IeCnkqtfOf,RO,11,-8.76077,-63.8999,2020-03-25T23:37:11.139Z,2020-04-04T20:42:56.626Z,"9,1%",1
OpUETQp72a,RR,37,2.82384,-60.6753,2020-03-25T23:37:11.141Z,2020-04-04T20:43:55.860Z,"2,7%",1
v64fT2DVSw,SC,334,-27.5945,-48.5477,2020-03-25T23:37:11.156Z,2020-04-04T20:45:40.901Z,"1,5%",5
VpSNd1zJrg,SE,27,-10.9091,-37.0677,2020-03-25T23:37:11.142Z,2020-04-04T20:43:44.132Z,"7,4%",2
AIzthCzqdx,SP,4466,-23.5329,-46.6395,2020-03-25T23:37:11.143Z,2020-04-04T20:44:20.387Z,"5,8%",260
bsZ2atdJ6V,TO,14,-10.24,-48.3558,2020-03-25T23:37:11.153Z,2020-04-04T20:45:19.309Z,0%,0
